"행정구역","2020년08월_계_총인구수","2020년08월_계_연령구간인구수","2020년08월_계_0세","2020년08월_계_1세","2020년08월_계_2세","2020년08월_계_3세","2020년08월_계_4세","2020년08월_계_5세","2020년08월_계_6세","2020년08월_계_7세","2020년08월_계_8세","2020년08월_계_9세","2020년08월_계_10세","2020년08월_계_11세","2020년08월_계_12세","2020년08월_계_13세","2020년08월_계_14세","2020년08월_계_15세","2020년08월_계_16세","2020년08월_계_17세","2020년08월_계_18세","2020년08월_계_19세","2020년08월_계_20세","2020년08월_계_21세","2020년08월_계_22세","2020년08월_계_23세","2020년08월_계_24세","2020년08월_계_25세","2020년08월_계_26세","2020년08월_계_27세","2020년08월_계_28세","2020년08월_계_29세","2020년08월_계_30세","2020년08월_계_31세","2020년08월_계_32세","2020년08월_계_33세","2020년08월_계_34세","2020년08월_계_35세","2020년08월_계_36세","2020년08월_계_37세","2020년08월_계_38세","2020년08월_계_39세","2020년08월_계_40세","2020년08월_계_41세","2020년08월_계_42세","2020년08월_계_43세","2020년08월_계_44세","2020년08월_계_45세","2020년08월_계_46세","2020년08월_계_47세","2020년08월_계_48세","2020년08월_계_49세","2020년08월_계_50세","2020년08월_계_51세","2020년08월_계_52세","2020년08월_계_53세","2020년08월_계_54세","2020년08월_계_55세","2020년08월_계_56세","2020년08월_계_57세","2020년08월_계_58세","2020년08월_계_59세","2020년08월_계_60세","2020년08월_계_61세","2020년08월_계_62세","2020년08월_계_63세","2020년08월_계_64세","2020년08월_계_65세","2020년08월_계_66세","2020년08월_계_67세","2020년08월_계_68세","2020년08월_계_69세","2020년08월_계_70세","2020년08월_계_71세","2020년08월_계_72세","2020년08월_계_73세","2020년08월_계_74세","2020년08월_계_75세","2020년08월_계_76세","2020년08월_계_77세","2020년08월_계_78세","2020년08월_계_79세","2020년08월_계_80세","2020년08월_계_81세","2020년08월_계_82세","2020년08월_계_83세","2020년08월_계_84세","2020년08월_계_85세","2020년08월_계_86세","2020년08월_계_87세","2020년08월_계_88세","2020년08월_계_89세","2020년08월_계_90세","2020년08월_계_91세","2020년08월_계_92세","2020년08월_계_93세","2020년08월_계_94세","2020년08월_계_95세","2020년08월_계_96세","2020년08월_계_97세","2020년08월_계_98세","2020년08월_계_99세","2020년08월_계_100세 이상"
"전국  (0000000000)","51,839,953","51,839,953","272,460","311,541","341,388","376,995","427,261","444,827","439,948","459,344","481,922","490,264","455,696","454,557","485,685","475,347","444,387","445,461","484,890","483,511","515,999","593,167","632,496","621,691","652,472","677,074","695,580","699,146","711,399","723,211","721,513","666,030","649,925","631,454","614,250","620,943","640,605","648,115","693,041","767,957","832,099","841,415","844,953","790,545","754,733","759,331","754,458","809,162","882,737","892,744","891,077","950,536","901,003","941,374","892,033","838,931","830,556","838,798","768,776","865,511","817,810","956,755","905,296","810,349","750,562","735,463","672,277","691,750","559,802","518,266","540,755","405,659","443,102","440,103","432,043","420,455","295,267","328,253","317,238","347,344","360,777","292,267","265,722","255,158","225,575","203,651","181,867","160,690","132,856","109,823","92,687","70,416","60,498","50,440","38,722","28,780","19,817","14,918","10,452","10,960","7,022","4,571","21,411"
"서울특별시  (1100000000)","9,708,247","9,708,247","46,391","52,065","55,113","59,746","67,287","69,457","68,337","71,285","74,507","75,408","71,352","71,497","77,896","76,890","72,682","73,711","81,000","80,432","86,419","102,252","112,844","115,257","126,223","137,844","148,241","155,125","164,528","171,679","173,107","160,619","154,407","149,444","142,757","141,072","141,357","139,545","144,910","153,251","161,838","161,489","160,224","147,990","138,567","140,883","139,101","148,121","160,679","163,828","166,732","175,898","165,826","168,953","158,013","146,954","143,928","147,692","138,402","152,478","142,677","164,879","161,128","146,462","138,198","136,272","126,023","132,091","107,272","100,142","101,931","76,441","86,120","84,709","83,835","83,150","60,008","63,555","59,920","63,209","64,545","51,795","45,214","42,276","36,948","32,486","28,503","24,822","20,003","16,677","14,117","10,921","9,438","8,354","6,505","4,904","3,437","2,578","2,004","2,087","1,419","1,027","6,632"
"부산광역시  (2600000000)","3,401,072","3,401,072","15,288","17,523","20,158","22,345","25,581","26,397","26,214","26,828","28,080","28,400","25,680","25,537","27,045","26,285","24,710","25,176","27,660","27,922","29,782","35,161","38,443","38,476","42,033","44,208","45,982","45,692","45,849","45,844","45,381","41,295","40,657","38,838","37,225","37,072","38,097","39,056","42,161","47,079","51,533","53,644","53,990","49,681","46,590","45,991","45,146","49,673","54,011","54,699","55,180","58,725","56,629","59,342","57,014","54,523","54,223","53,560","51,051","59,761","58,266","69,092","66,265","60,689","57,731","58,166","54,200","56,409","46,036","43,435","44,465","35,146","37,087","36,741","35,894","33,094","22,499","26,126","24,891","26,986","26,258","21,957","19,416","17,912","15,135","13,533","11,697","10,303","8,172","6,716","5,721","4,244","3,511","3,129","2,474","1,737","1,120","906","634","605","433","251","1,864"
"대구광역시  (2700000000)","2,428,228","2,428,228","11,795","13,428","15,239","17,139","19,500","20,269","19,914","20,785","22,096","22,003","20,536","20,611","22,217","21,918","20,812","21,305","23,458","23,863","25,179","28,965","31,490","30,375","32,499","33,908","34,148","33,408","33,118","32,753","32,438","29,208","28,940","27,634","25,853","26,487","27,145","27,166","29,299","33,246","36,043","37,371","37,486","35,315","33,848","34,927","35,226","38,147","41,519","42,445","42,868","45,076","44,034","45,499","44,810","42,074","41,241","41,329","38,232","42,492","41,037","46,753","43,611","39,589","34,287","35,533","32,428","32,835","26,543","27,040","27,469","20,467","21,491","22,856","21,090","19,247","12,273","14,608","15,595","16,919","16,729","13,627","12,421","11,594","10,218","9,085","8,187","7,143","5,860","4,703","4,012","3,011","2,275","1,878","1,547","1,119","703","569","346","316","231","145","709"
"인천광역시  (2800000000)","2,943,491","2,943,491","15,768","18,385","19,308","21,650","24,548","25,831","25,265","26,448","27,626","28,578","26,264","26,400","27,857","27,492","25,586","25,248","27,457","27,561","29,021","33,108","35,471","35,123","37,250","39,449","40,859","41,651","43,171","44,355","44,243","40,932","38,979","37,400","35,813","36,059","37,806","38,099","40,702","45,333","49,324","50,294","50,224","46,689","44,759","44,239","43,428","47,561","50,628","51,776","51,600","54,744","52,245","54,533","52,059","48,972","49,170","51,106","46,950","52,827","49,288","56,005","52,975","46,616","43,015","40,747","36,301","36,940","28,999","26,338","27,072","18,882","21,766","21,520","21,079","21,156","14,793","15,546","14,814","16,028","16,277","13,085","11,713","11,439","10,091","8,935","8,178","7,199","5,821","5,065","4,257","3,338","2,844","2,501","1,787","1,467","991","813","521","532","346","259","928"
"광주광역시  (2900000000)","1,454,154","1,454,154","7,463","8,757","10,089","11,257","12,933","13,447","13,594","14,378","15,022","15,369","14,482","14,445","15,573","15,612","14,547","14,631","16,019","16,506","17,512","19,845","21,181","20,897","21,863","22,093","22,004","21,531","20,921","20,594","20,139","17,873","17,117","16,299","15,972","16,353","17,058","17,385","19,305","21,821","24,028","23,116","24,034","23,131","21,982","22,473","22,340","23,616","26,244","26,149","25,688","27,495","25,623","26,051","25,468","23,191","23,806","22,270","20,718","22,840","20,339","23,468","23,193","20,335","18,684","17,684","15,563","16,335","12,939","11,920","12,838","10,969","11,226","11,414","10,820","10,859","7,819","8,308","7,524","8,286","9,172","7,030","6,333","5,817","5,329","4,722","3,984","3,669","3,172","2,440","2,011","1,656","1,556","1,135","820","663","470","325","200","298","165","91","423"
"대전광역시  (3000000000)","1,469,431","1,469,431","7,490","8,761","9,697","11,208","12,377","13,076","12,782","13,541","13,952","14,531","13,455","13,452","14,678","14,539","13,623","13,826","15,327","15,123","16,031","18,380","19,660","19,931","21,026","22,253","22,245","22,102","22,071","22,129","21,624","19,878","19,189","18,296","17,882","17,850","18,227","18,212","19,150","21,255","23,078","23,548","23,179","22,321","21,689","22,006","21,737","23,389","25,779","26,120","25,595","27,626","25,972","28,105","25,994","23,525","22,206","23,629","20,612","23,053","22,759","26,900","24,720","21,593","19,976","19,919","18,223","18,475","14,998","13,146","13,823","10,295","11,717","11,201","10,602","9,974","7,143","8,010","7,953","8,325","8,890","6,784","5,964","6,023","5,432","4,771","4,291","3,741","3,171","2,629","2,226","1,624","1,402","1,179","985","701","442","319","258","243","154","93","365"
"울산광역시  (3100000000)","1,140,310","1,140,310","6,682","7,538","8,441","9,620","10,715","11,360","11,182","11,483","11,820","11,977","11,066","11,009","11,669","11,336","10,369","10,270","11,158","11,164","11,832","13,312","14,392","13,736","14,421","14,898","14,730","14,813","14,753","15,117","15,058","14,062","14,057","13,635","13,151","13,522","14,037","14,214","15,673","17,596","19,303","19,569","19,894","18,195","17,492","17,191","16,672","18,159","19,477","19,903","20,208","21,740","21,008","22,452","21,768","20,976","21,305","20,780","18,746","20,837","19,573","22,980","20,374","18,475","16,763","16,025","14,455","14,398","11,617","10,714","10,519","8,260","8,126","8,024","7,614","6,742","4,324","5,127","4,755","5,468","5,009","3,945","3,776","3,349","2,911","2,615","2,322","2,019","1,768","1,466","1,159","882","700","652","492","369","252","205","138","124","71","43","167"
"세종특별자치시  (3600000000)","347,232","347,232","3,382","3,878","4,204","4,510","5,031","5,148","5,007","5,221","5,299","5,307","4,894","4,899","4,907","4,588","4,190","3,838","3,909","3,481","3,311","3,399","3,459","3,210","3,223","3,275","3,358","3,444","3,635","4,009","4,307","4,321","4,624","4,720","5,039","5,491","5,650","5,942","6,322","7,139","8,047","7,821","7,832","7,477","6,780","6,769","6,276","6,604","6,816","6,290","5,950","6,156","5,253","5,355","4,804","4,361","3,938","4,157","3,639","4,058","3,732","4,517","4,007","3,698","3,320","3,236","3,035","3,121","2,446","2,102","2,234","1,637","1,900","1,811","1,552","1,540","1,106","1,181","1,203","1,244","1,361","1,122","965","989","881","782","761","702","612","519","415","337","283","266","184","149","76","68","40","42","31","15","56"
"경기도  (4100000000)","13,370,714","13,370,714","77,951","89,543","98,319","108,716","123,349","128,752","126,269","131,239","137,933","139,517","129,156","128,940","137,183","133,319","123,394","122,486","132,325","130,687","140,103","161,240","167,017","163,351","170,158","175,634","182,552","185,029","187,956","191,895","192,631","179,217","173,640","170,811","167,529","169,392","176,283","179,535","191,502","213,860","232,581","236,909","236,540","221,196","211,058","212,193","210,149","222,434","241,747","242,395","243,467","256,349","240,975","249,825","232,767","218,108","214,027","217,237","197,742","218,265","202,263","232,605","216,352","192,222","176,891","166,718","151,006","153,382","122,205","111,920","115,031","81,051","90,458","89,730","89,809","89,166","64,499","69,264","65,423","69,048","72,360","59,381","53,205","50,862","45,572","41,314","36,267","32,218","26,545","21,927","18,540","14,070","12,352","10,327","7,981","5,874","4,188","3,151","2,302","2,224","1,447","963","4,224"
