"행정구역","2020년08월_남_총인구수","2020년08월_남_연령구간인구수","2020년08월_남_0세","2020년08월_남_1세","2020년08월_남_2세","2020년08월_남_3세","2020년08월_남_4세","2020년08월_남_5세","2020년08월_남_6세","2020년08월_남_7세","2020년08월_남_8세","2020년08월_남_9세","2020년08월_남_10세","2020년08월_남_11세","2020년08월_남_12세","2020년08월_남_13세","2020년08월_남_14세","2020년08월_남_15세","2020년08월_남_16세","2020년08월_남_17세","2020년08월_남_18세","2020년08월_남_19세","2020년08월_남_20세","2020년08월_남_21세","2020년08월_남_22세","2020년08월_남_23세","2020년08월_남_24세","2020년08월_남_25세","2020년08월_남_26세","2020년08월_남_27세","2020년08월_남_28세","2020년08월_남_29세","2020년08월_남_30세","2020년08월_남_31세","2020년08월_남_32세","2020년08월_남_33세","2020년08월_남_34세","2020년08월_남_35세","2020년08월_남_36세","2020년08월_남_37세","2020년08월_남_38세","2020년08월_남_39세","2020년08월_남_40세","2020년08월_남_41세","2020년08월_남_42세","2020년08월_남_43세","2020년08월_남_44세","2020년08월_남_45세","2020년08월_남_46세","2020년08월_남_47세","2020년08월_남_48세","2020년08월_남_49세","2020년08월_남_50세","2020년08월_남_51세","2020년08월_남_52세","2020년08월_남_53세","2020년08월_남_54세","2020년08월_남_55세","2020년08월_남_56세","2020년08월_남_57세","2020년08월_남_58세","2020년08월_남_59세","2020년08월_남_60세","2020년08월_남_61세","2020년08월_남_62세","2020년08월_남_63세","2020년08월_남_64세","2020년08월_남_65세","2020년08월_남_66세","2020년08월_남_67세","2020년08월_남_68세","2020년08월_남_69세","2020년08월_남_70세","2020년08월_남_71세","2020년08월_남_72세","2020년08월_남_73세","2020년08월_남_74세","2020년08월_남_75세","2020년08월_남_76세","2020년08월_남_77세","2020년08월_남_78세","2020년08월_남_79세","2020년08월_남_80세","2020년08월_남_81세","2020년08월_남_82세","2020년08월_남_83세","2020년08월_남_84세","2020년08월_남_85세","2020년08월_남_86세","2020년08월_남_87세","2020년08월_남_88세","2020년08월_남_89세","2020년08월_남_90세","2020년08월_남_91세","2020년08월_남_92세","2020년08월_남_93세","2020년08월_남_94세","2020년08월_남_95세","2020년08월_남_96세","2020년08월_남_97세","2020년08월_남_98세","2020년08월_남_99세","2020년08월_남_100세 이상","2020년08월_여_총인구수","2020년08월_여_연령구간인구수","2020년08월_여_0세","2020년08월_여_1세","2020년08월_여_2세","2020년08월_여_3세","2020년08월_여_4세","2020년08월_여_5세","2020년08월_여_6세","2020년08월_여_7세","2020년08월_여_8세","2020년08월_여_9세","2020년08월_여_10세","2020년08월_여_11세","2020년08월_여_12세","2020년08월_여_13세","2020년08월_여_14세","2020년08월_여_15세","2020년08월_여_16세","2020년08월_여_17세","2020년08월_여_18세","2020년08월_여_19세","2020년08월_여_20세","2020년08월_여_21세","2020년08월_여_22세","2020년08월_여_23세","2020년08월_여_24세","2020년08월_여_25세","2020년08월_여_26세","2020년08월_여_27세","2020년08월_여_28세","2020년08월_여_29세","2020년08월_여_30세","2020년08월_여_31세","2020년08월_여_32세","2020년08월_여_33세","2020년08월_여_34세","2020년08월_여_35세","2020년08월_여_36세","2020년08월_여_37세","2020년08월_여_38세","2020년08월_여_39세","2020년08월_여_40세","2020년08월_여_41세","2020년08월_여_42세","2020년08월_여_43세","2020년08월_여_44세","2020년08월_여_45세","2020년08월_여_46세","2020년08월_여_47세","2020년08월_여_48세","2020년08월_여_49세","2020년08월_여_50세","2020년08월_여_51세","2020년08월_여_52세","2020년08월_여_53세","2020년08월_여_54세","2020년08월_여_55세","2020년08월_여_56세","2020년08월_여_57세","2020년08월_여_58세","2020년08월_여_59세","2020년08월_여_60세","2020년08월_여_61세","2020년08월_여_62세","2020년08월_여_63세","2020년08월_여_64세","2020년08월_여_65세","2020년08월_여_66세","2020년08월_여_67세","2020년08월_여_68세","2020년08월_여_69세","2020년08월_여_70세","2020년08월_여_71세","2020년08월_여_72세","2020년08월_여_73세","2020년08월_여_74세","2020년08월_여_75세","2020년08월_여_76세","2020년08월_여_77세","2020년08월_여_78세","2020년08월_여_79세","2020년08월_여_80세","2020년08월_여_81세","2020년08월_여_82세","2020년08월_여_83세","2020년08월_여_84세","2020년08월_여_85세","2020년08월_여_86세","2020년08월_여_87세","2020년08월_여_88세","2020년08월_여_89세","2020년08월_여_90세","2020년08월_여_91세","2020년08월_여_92세","2020년08월_여_93세","2020년08월_여_94세","2020년08월_여_95세","2020년08월_여_96세","2020년08월_여_97세","2020년08월_여_98세","2020년08월_여_99세","2020년08월_여_100세 이상"
"전국  (0000000000)","25,851,388","25,851,388","139,629","160,144","175,235","193,607","218,447","227,813","225,542","235,045","247,504","252,119","234,771","233,991","249,962","244,640","229,740","230,490","251,554","251,012","268,850","308,602","329,594","324,846","339,272","351,781","366,292","370,999","377,867","383,657","379,058","348,667","341,774","331,046","317,653","318,704","330,725","333,226","354,774","391,629","423,343","430,955","428,655","400,608","383,378","386,871","383,968","409,657","448,494","450,670","455,829","483,713","457,339","474,000","446,933","421,862","425,737","421,727","388,945","441,500","412,689","474,824","445,641","401,659","374,101","363,875","329,700","334,689","271,315","249,140","259,458","192,808","209,824","206,979","202,235","193,342","135,773","146,605","136,973","148,398","152,058","119,834","105,494","98,587","84,473","73,475","62,187","52,397","41,518","32,267","25,809","18,097","14,151","12,337","8,586","6,113","4,000","3,009","2,352","2,399","1,551","1,018","5,203","25,988,565","25,988,565","132,831","151,397","166,153","183,388","208,814","217,014","214,406","224,299","234,418","238,145","220,925","220,566","235,723","230,707","214,647","214,971","233,336","232,499","247,149","284,565","302,902","296,845","313,200","325,293","329,288","328,147","333,532","339,554","342,455","317,363","308,151","300,408","296,597","302,239","309,880","314,889","338,267","376,328","408,756","410,460","416,298","389,937","371,355","372,460","370,490","399,505","434,243","442,074","435,248","466,823","443,664","467,374","445,100","417,069","404,819","417,071","379,831","424,011","405,121","481,931","459,655","408,690","376,461","371,588","342,577","357,061","288,487","269,126","281,297","212,851","233,278","233,124","229,808","227,113","159,494","181,648","180,265","198,946","208,719","172,433","160,228","156,571","141,102","130,176","119,680","108,293","91,338","77,556","66,878","52,319","46,347","38,103","30,136","22,667","15,817","11,909","8,100","8,561","5,471","3,553","16,208"
"서울특별시  (1100000000)","4,724,585","4,724,585","23,901","27,126","28,458","30,497","34,353","35,585","35,159","36,487","38,199","38,724","36,562","36,631","40,193","39,524","37,517","38,102","41,707","41,396","44,076","51,504","55,496","55,757","60,354","64,933","70,185","74,828","80,408","85,019","85,622","79,626","77,175","74,971","70,939","70,121","70,632","69,914","72,813","76,826","80,735","81,469","79,339","73,258","68,462","69,565","69,029","73,277","79,713","80,652","83,142","87,336","82,174","83,182","77,289","71,947","72,033","72,337","67,864","75,260","70,110","78,922","76,281","70,191","66,261","64,422","59,493","61,762","50,213","46,891","47,872","35,565","40,009","38,902","38,590","37,793","27,128","29,064","26,823","28,774","29,201","23,089","19,547","17,924","15,193","12,774","10,806","8,977","6,843","5,451","4,512","3,161","2,531","2,309","1,669","1,206","791","612","505","605","381","305","1,744","4,983,662","4,983,662","22,490","24,939","26,655","29,249","32,934","33,872","33,178","34,798","36,308","36,684","34,790","34,866","37,703","37,366","35,165","35,609","39,293","39,036","42,343","50,748","57,348","59,500","65,869","72,911","78,056","80,297","84,120","86,660","87,485","80,993","77,232","74,473","71,818","70,951","70,725","69,631","72,097","76,425","81,103","80,020","80,885","74,732","70,105","71,318","70,072","74,844","80,966","83,176","83,590","88,562","83,652","85,771","80,724","75,007","71,895","75,355","70,538","77,218","72,567","85,957","84,847","76,271","71,937","71,850","66,530","70,329","57,059","53,251","54,059","40,876","46,111","45,807","45,245","45,357","32,880","34,491","33,097","34,435","35,344","28,706","25,667","24,352","21,755","19,712","17,697","15,845","13,160","11,226","9,605","7,760","6,907","6,045","4,836","3,698","2,646","1,966","1,499","1,482","1,038","722","4,888"
"부산광역시  (2600000000)","1,666,462","1,666,462","7,890","8,914","10,385","11,390","13,137","13,551","13,551","13,767","14,392","14,446","13,353","13,047","13,893","13,521","12,787","13,017","14,332","14,574","15,416","18,227","19,825","19,831","21,629","22,717","24,319","24,276","24,108","24,313","23,588","21,448","21,118","20,124","19,073","18,832","19,733","20,033","21,430","23,710","26,106","27,259","27,489","25,053","23,726","23,462","22,808","24,898","27,165","27,165","27,622","28,980","27,985","29,102","27,672","26,391","26,748","25,692","24,808","29,153","28,062","32,500","31,199","29,061","27,725","27,775","25,569","26,555","22,178","20,219","20,908","16,456","17,218","16,867","16,464","15,045","10,503","11,799","11,025","11,860","11,393","9,056","7,901","7,079","5,792","5,037","4,014","3,350","2,598","1,989","1,539","1,101","802","747","516","352","213","169","146","134","103","52","410","1,734,610","1,734,610","7,398","8,609","9,773","10,955","12,444","12,846","12,663","13,061","13,688","13,954","12,327","12,490","13,152","12,764","11,923","12,159","13,328","13,348","14,366","16,934","18,618","18,645","20,404","21,491","21,663","21,416","21,741","21,531","21,793","19,847","19,539","18,714","18,152","18,240","18,364","19,023","20,731","23,369","25,427","26,385","26,501","24,628","22,864","22,529","22,338","24,775","26,846","27,534","27,558","29,745","28,644","30,240","29,342","28,132","27,475","27,868","26,243","30,608","30,204","36,592","35,066","31,628","30,006","30,391","28,631","29,854","23,858","23,216","23,557","18,690","19,869","19,874","19,430","18,049","11,996","14,327","13,866","15,126","14,865","12,901","11,515","10,833","9,343","8,496","7,683","6,953","5,574","4,727","4,182","3,143","2,709","2,382","1,958","1,385","907","737","488","471","330","199","1,454"
"대구광역시  (2700000000)","1,198,662","1,198,662","6,081","6,992","7,765","8,748","9,979","10,342","10,115","10,675","11,276","11,407","10,617","10,675","11,579","11,162","10,878","11,145","12,333","12,632","13,395","15,186","16,679","16,161","17,192","17,679","18,374","18,085","17,920","17,798","17,550","15,676","15,755","14,986","13,914","14,011","14,446","14,217","14,917","16,508","17,883","18,625","18,560","17,454","16,822","17,434","17,514","18,702","20,382","20,695","21,115","22,130","21,598","22,136","22,090","20,450","20,484","20,011","18,672","21,037","20,269","22,567","20,803","19,208","16,921","17,262","15,620","15,369","12,599","12,399","12,665","9,395","10,057","10,370","9,482","8,510","5,510","6,267","6,444","7,139","6,978","5,362","4,802","4,459","3,689","3,290","2,792","2,413","1,856","1,412","1,174","769","518","460","342","212","139","121","70","67","42","28","167","1,229,566","1,229,566","5,714","6,436","7,474","8,391","9,521","9,927","9,799","10,110","10,820","10,596","9,919","9,936","10,638","10,756","9,934","10,160","11,125","11,231","11,784","13,779","14,811","14,214","15,307","16,229","15,774","15,323","15,198","14,955","14,888","13,532","13,185","12,648","11,939","12,476","12,699","12,949","14,382","16,738","18,160","18,746","18,926","17,861","17,026","17,493","17,712","19,445","21,137","21,750","21,753","22,946","22,436","23,363","22,720","21,624","20,757","21,318","19,560","21,455","20,768","24,186","22,808","20,381","17,366","18,271","16,808","17,466","13,944","14,641","14,804","11,072","11,434","12,486","11,608","10,737","6,763","8,341","9,151","9,780","9,751","8,265","7,619","7,135","6,529","5,795","5,395","4,730","4,004","3,291","2,838","2,242","1,757","1,418","1,205","907","564","448","276","249","189","117","542"
"인천광역시  (2800000000)","1,474,620","1,474,620","8,156","9,443","9,970","11,076","12,551","13,204","12,958","13,501","14,154","14,775","13,469","13,548","14,155","14,214","13,105","12,974","14,131","14,181","15,047","17,098","18,498","18,354","19,177","20,231","21,163","21,891","22,830","23,297","22,995","21,468","20,481","19,558","18,522","18,579","19,581","19,716","20,912","23,188","25,339","25,975","25,846","24,023","22,781","22,777","22,407","24,286","25,954","26,087","26,255","27,738","26,224","27,008","25,467","24,323","24,681","25,346","23,549","26,935","24,819","28,302","26,521","23,412","21,541","20,377","17,983","18,085","14,156","12,864","13,270","9,145","10,659","10,221","10,067","9,723","6,840","7,012","6,602","6,892","6,828","5,271","4,598","4,389","3,772","3,069","2,771","2,340","1,742","1,441","1,098","814","585","596","413","301","177","140","112","138","74","64","244","1,468,871","1,468,871","7,612","8,942","9,338","10,574","11,997","12,627","12,307","12,947","13,472","13,803","12,795","12,852","13,702","13,278","12,481","12,274","13,326","13,380","13,974","16,010","16,973","16,769","18,073","19,218","19,696","19,760","20,341","21,058","21,248","19,464","18,498","17,842","17,291","17,480","18,225","18,383","19,790","22,145","23,985","24,319","24,378","22,666","21,978","21,462","21,021","23,275","24,674","25,689","25,345","27,006","26,021","27,525","26,592","24,649","24,489","25,760","23,401","25,892","24,469","27,703","26,454","23,204","21,474","20,370","18,318","18,855","14,843","13,474","13,802","9,737","11,107","11,299","11,012","11,433","7,953","8,534","8,212","9,136","9,449","7,814","7,115","7,050","6,319","5,866","5,407","4,859","4,079","3,624","3,159","2,524","2,259","1,905","1,374","1,166","814","673","409","394","272","195","684"
"광주광역시  (2900000000)","719,601","719,601","3,735","4,432","5,186","5,854","6,541","6,988","6,962","7,447","7,768","7,926","7,497","7,413","8,085","8,096","7,526","7,579","8,367","8,645","9,106","10,305","11,047","10,854","11,385","11,527","11,544","11,138","11,124","10,856","10,417","9,272","8,989","8,435","8,226","8,310","8,700","8,875","9,862","11,078","12,029","11,627","11,877","11,400","10,849","11,284","11,176","11,688","13,143","12,853","12,697","13,661","12,783","12,903","12,598","11,517","11,928","10,974","10,309","11,464","9,997","11,434","11,157","9,809","8,984","8,473","7,605","7,750","6,087","5,511","5,986","5,049","5,150","5,223","4,865","4,838","3,564","3,640","3,269","3,607","3,958","2,803","2,504","2,308","2,004","1,705","1,355","1,174","995","700","569","398","353","273","187","133","92","55","35","50","28","14","53","734,553","734,553","3,728","4,325","4,903","5,403","6,392","6,459","6,632","6,931","7,254","7,443","6,985","7,032","7,488","7,516","7,021","7,052","7,652","7,861","8,406","9,540","10,134","10,043","10,478","10,566","10,460","10,393","9,797","9,738","9,722","8,601","8,128","7,864","7,746","8,043","8,358","8,510","9,443","10,743","11,999","11,489","12,157","11,731","11,133","11,189","11,164","11,928","13,101","13,296","12,991","13,834","12,840","13,148","12,870","11,674","11,878","11,296","10,409","11,376","10,342","12,034","12,036","10,526","9,700","9,211","7,958","8,585","6,852","6,409","6,852","5,920","6,076","6,191","5,955","6,021","4,255","4,668","4,255","4,679","5,214","4,227","3,829","3,509","3,325","3,017","2,629","2,495","2,177","1,740","1,442","1,258","1,203","862","633","530","378","270","165","248","137","77","370"
"대전광역시  (3000000000)","733,547","733,547","3,858","4,430","4,999","5,711","6,399","6,733","6,542","6,861","7,270","7,484","6,906","6,906","7,584","7,470","7,019","7,228","7,944","7,815","8,462","9,466","9,965","10,238","10,784","11,448","11,752","11,926","11,809","11,922","11,478","10,431","10,409","9,920","9,644","9,315","9,541","9,400","9,834","10,894","11,602","11,864","11,550","11,129","10,760","10,914","10,777","11,663","12,873","12,848","12,918","13,867","13,198","13,978","12,797","11,667","11,316","11,658","10,307","11,606","11,377","13,176","11,984","10,458","9,835","9,941","8,869","8,882","7,139","6,446","6,687","4,930","5,552","5,305","4,992","4,603","3,342","3,576","3,524","3,566","3,846","2,791","2,408","2,338","2,117","1,768","1,441","1,233","1,021","813","650","430","353","270","218","174","100","66","47","47","37","17","89","735,884","735,884","3,632","4,331","4,698","5,497","5,978","6,343","6,240","6,680","6,682","7,047","6,549","6,546","7,094","7,069","6,604","6,598","7,383","7,308","7,569","8,914","9,695","9,693","10,242","10,805","10,493","10,176","10,262","10,207","10,146","9,447","8,780","8,376","8,238","8,535","8,686","8,812","9,316","10,361","11,476","11,684","11,629","11,192","10,929","11,092","10,960","11,726","12,906","13,272","12,677","13,759","12,774","14,127","13,197","11,858","10,890","11,971","10,305","11,447","11,382","13,724","12,736","11,135","10,141","9,978","9,354","9,593","7,859","6,700","7,136","5,365","6,165","5,896","5,610","5,371","3,801","4,434","4,429","4,759","5,044","3,993","3,556","3,685","3,315","3,003","2,850","2,508","2,150","1,816","1,576","1,194","1,049","909","767","527","342","253","211","196","117","76","276"
"울산광역시  (3100000000)","585,922","585,922","3,338","3,898","4,284","4,964","5,558","5,889","5,698","5,845","6,134","6,214","5,791","5,783","5,961","5,935","5,387","5,440","5,924","5,952","6,230","7,220","7,922","7,684","7,955","8,311","8,411","8,470","8,453","8,580","8,446","7,705","7,777","7,579","7,209","7,225","7,409","7,522","8,137","9,085","9,891","10,230","10,319","9,374","9,121","9,001","8,560","9,153","9,715","9,902","10,090","10,807","10,428","11,086","10,840","10,475","11,168","10,755","9,598","10,962","10,200","11,711","10,349","9,434","8,570","8,042","7,222","7,196","5,831","5,350","5,276","4,154","4,045","4,046","3,752","3,303","2,129","2,389","2,112","2,422","2,133","1,640","1,482","1,321","988","841","695","593","510","395","274","178","131","132","72","53","39","18","29","19","5","8","33","554,388","554,388","3,344","3,640","4,157","4,656","5,157","5,471","5,484","5,638","5,686","5,763","5,275","5,226","5,708","5,401","4,982","4,830","5,234","5,212","5,602","6,092","6,470","6,052","6,466","6,587","6,319","6,343","6,300","6,537","6,612","6,357","6,280","6,056","5,942","6,297","6,628","6,692","7,536","8,511","9,412","9,339","9,575","8,821","8,371","8,190","8,112","9,006","9,762","10,001","10,118","10,933","10,580","11,366","10,928","10,501","10,137","10,025","9,148","9,875","9,373","11,269","10,025","9,041","8,193","7,983","7,233","7,202","5,786","5,364","5,243","4,106","4,081","3,978","3,862","3,439","2,195","2,738","2,643","3,046","2,876","2,305","2,294","2,028","1,923","1,774","1,627","1,426","1,258","1,071","885","704","569","520","420","316","213","187","109","105","66","35","134"
"세종특별자치시  (3600000000)","173,183","173,183","1,737","1,971","2,116","2,267","2,605","2,655","2,544","2,688","2,738","2,755","2,488","2,482","2,409","2,280","2,129","1,923","1,921","1,702","1,683","1,760","1,827","1,629","1,720","1,705","1,746","1,793","1,837","2,009","2,056","2,040","2,238","2,300","2,443","2,659","2,814","2,927","3,103","3,394","3,920","3,835","3,893","3,643","3,326","3,418","3,140","3,432","3,513","3,334","3,260","3,278","2,834","2,834","2,508","2,232","2,041","2,120","1,903","2,113","1,910","2,288","1,988","1,860","1,670","1,590","1,529","1,550","1,192","1,023","1,092","799","929","884","754","726","517","523","530","530","581","444","370","373","326","282","252","225","195","132","101","85","72","53","36","35","15","16","5","10","5","5","11","174,049","174,049","1,645","1,907","2,088","2,243","2,426","2,493","2,463","2,533","2,561","2,552","2,406","2,417","2,498","2,308","2,061","1,915","1,988","1,779","1,628","1,639","1,632","1,581","1,503","1,570","1,612","1,651","1,798","2,000","2,251","2,281","2,386","2,420","2,596","2,832","2,836","3,015","3,219","3,745","4,127","3,986","3,939","3,834","3,454","3,351","3,136","3,172","3,303","2,956","2,690","2,878","2,419","2,521","2,296","2,129","1,897","2,037","1,736","1,945","1,822","2,229","2,019","1,838","1,650","1,646","1,506","1,571","1,254","1,079","1,142","838","971","927","798","814","589","658","673","714","780","678","595","616","555","500","509","477","417","387","314","252","211","213","148","114","61","52","35","32","26","10","45"
"경기도  (4100000000)","6,727,226","6,727,226","39,765","46,192","50,257","56,078","62,827","65,918","64,547","67,079","70,682","71,585","66,296","66,132","70,359","68,233","63,487","62,636","67,887","67,428","72,939","83,852","87,014","85,401","88,450","91,280","95,650","98,141","100,168","102,384","102,165","94,257","91,120","89,532","86,528","87,050","90,669","92,023","98,113","109,424","118,914","121,063","120,151","112,004","107,177","108,122","107,057","112,772","122,636","122,387","124,631","130,109","122,428","125,346","115,994","109,591","109,853","110,120","101,283","112,511","103,156","117,395","109,083","96,952","89,925","83,497","74,990","75,212","59,949","54,644","55,763","38,649","42,977","42,395","42,250","41,217","29,646","31,182","28,488","29,808","31,104","25,014","21,612","20,085","17,644","15,416","12,771","10,866","8,565","6,737","5,428","3,857","3,111","2,638","1,838","1,272","883","645","571","560","367","236","1,131","6,643,488","6,643,488","38,186","43,351","48,062","52,638","60,522","62,834","61,722","64,160","67,251","67,932","62,860","62,808","66,824","65,086","59,907","59,850","64,438","63,259","67,164","77,388","80,003","77,950","81,708","84,354","86,902","86,888","87,788","89,511","90,466","84,960","82,520","81,279","81,001","82,342","85,614","87,512","93,389","104,436","113,667","115,846","116,389","109,192","103,881","104,071","103,092","109,662","119,111","120,008","118,836","126,240","118,547","124,479","116,773","108,517","104,174","107,117","96,459","105,754","99,107","115,210","107,269","95,270","86,966","83,221","76,016","78,170","62,256","57,276","59,268","42,402","47,481","47,335","47,559","47,949","34,853","38,082","36,935","39,240","41,256","34,367","31,593","30,777","27,928","25,898","23,496","21,352","17,980","15,190","13,112","10,213","9,241","7,689","6,143","4,602","3,305","2,506","1,731","1,664","1,080","727","3,093"
